# mobid調べるのが面倒になったらここに隔離、気が向いたときに対応しましょ


781,感染砂漠サソリ,781,660,680,100,100
,781,感染砂漠スパイダ,781,660,680,100,100
,781,感染アイウィング,781,660,680,100,100
,781,感染ラットシーフ,781,660,680,100,100
,781,感染バッファロー,781,660,680,100,100
,781,イーグルヘッド,781,660,680,100,100
,781,イーグルヘッド,781,660,680,100,100
,781,イーグルヘッド,781,660,680,100,100
,781,イーグルヘッド,781,660,680,100,100
,781,イーグルヘッド長,781,660,680,100,100
,781,カズ,781,660,680,100,100
,781,変異した悪魔,781,660,680,100,100
,781,変異した夢魔,781,660,680,100,100
,781,ミラーテレポータ,781,660,680,100,100
,781,ファルコンJr,781,660,680,100,100
,826,ミラーテレポータ,826,1025,1050,100,100
,826,収容所デモン,826,1025,1050,100,100
,826,囚われた黒エルフ,826,1025,1050,100,100
,826,黒エルフ衛兵,826,1025,1050,100,100
,826,収容所狂魔,826,1025,1050,100,100
,826,堕落エルフ,826,1025,1050,100,100
827,ブラックエルフ,827,710,735,100,100
,827,森オーガ,827,710,735,100,100
,827,森インプ,827,710,735,100,100
,827,エルフ刺客,827,710,735,100,100
,774,古代フロッグ,774,935,950,100,100
,774,オアシスタートル,774,935,950,100,100
,774,ボーンキメラ,774,935,950,100,100
,774,シーク守護者,774,935,950,100,100
,774,古代悪魔,774,935,950,100,100
,774,古代の有翼猿,774,935,950,100,100
,774,古代モンキー,774,935,950,100,100
,774,悪魔,774,935,950,100,100
,774,古代異常生命体,774,935,950,100,100
,774,古代カエル,774,935,950,100,100
,774,古代タートル,774,935,950,100,100
,773,汚染ガーゴイル,773,920,935,100,100
,773,汚染骸骨戦士,773,920,935,100,100
,773,汚染ヘルハウンド,773,920,935,100,100
,773,汚染サラマンダー,773,920,935,100,100
,773,汚染死体,773,920,935,100,100
,773,ミラーテレポータ,773,920,935,100,100
,773,騎士団長ディラン,773,920,935,100,100
,773,討伐騎士団員,773,920,935,100,100
,825,囚われた降神術師,825,1000,1025,100,100
,825,収容所番人,825,1000,1025,100,100
,825,束縛された魔法師,825,1000,1025,100,100
,825,収容所怪物ネズミ,825,1000,1025,100,100
,825,ミラーテレポータ,825,1000,1025,100,100
,824,蘇った骸骨,824,975,1000,100,100
,824,腐乱屍鬼,824,975,1000,100,100
,824,怨念の亡霊,824,975,1000,100,100
,824,重罪人,824,975,1000,100,100
,824,デスマスク,824,975,1000,100,100
,824,アークリッチ,824,975,1000,100,100
,824,スペクター,824,975,1000,100,100
,824,ミラーテレポータ,824,975,1000,100,100
,824,カメル,824,975,1000,100,100
,824,看守,824,975,1000,100,100
,824,名もなき存在,824,975,1000,100,100
,824,謎の存在,824,975,1000,100,100

